timestamp,ax,ay,az,gx,gy,gz,label
2020-03-06,13:53:19.719,0.085938, 0.128906, 0.953369,-2.426147, 0.724792, -3.822327,gal
2020-03-06,13:53:19.747,0.089600, 0.163086, 0.966797,-1.487732, 2.388000, 1.396179,gal
2020-03-06,13:53:19.775,0.069336, 0.131348, 0.962646,-2.525330, 2.464294, 5.096436,gal
2020-03-06,13:53:19.802,0.052002, 0.123535, 0.968262,-4.829407, 0.801086, 3.456116,gal
2020-03-06,13:53:19.830,0.094971, 0.134521, 0.958740,-3.044128, 1.754761, 1.518250,gal
2020-03-06,13:53:19.857,0.084229, 0.130371, 0.951660,-0.183105, 4.463196, 1.449585,gal
2020-03-06,13:53:19.886,0.040039, 0.123779, 0.957275,-2.838135, -0.114441, 0.923157,gal
2020-03-06,13:53:19.915,0.080566, 0.112061, 0.959473,-2.929688, 0.564575, -0.366211,gal
2020-03-06,13:53:19.943,0.088867, 0.137939, 0.954102,0.625610, 6.759644, 1.220703,gal
2020-03-06,13:53:19.970,0.068359, 0.134277, 0.964111,1.167297, 7.301331, -1.167297,gal
2020-03-06,13:53:19.998,0.044434, 0.120605, 0.965088,0.328064, 2.632141, -0.152588,gal
2020-03-06,13:53:20.025,0.062012, 0.133789, 0.961914,-0.228882, 1.152039, -2.937317,gal
2020-03-06,13:53:20.053,0.087402, 0.133301, 0.946533,1.716614, 3.601074, -4.264832,gal
2020-03-06,13:53:20.085,0.072998, 0.150879, 0.958740,2.670288, 10.284424, -1.861572,gal
2020-03-06,13:53:20.119,0.039795, 0.155762, 0.966064,-0.518799, 3.913879, -0.419617,gal
2020-03-06,13:53:20.149,0.093018, 0.151611, 0.952393,-1.518250, 3.334045, 4.081726,gal
2020-03-06,13:53:20.177,0.027832, 0.166016, 0.964844,0.854492, 3.463745, 3.112793,gal
2020-03-06,13:53:20.206,0.062988, 0.128418, 0.957520,-1.296997, 4.539490, 2.693176,gal
2020-03-06,13:53:20.235,0.041504, 0.137695, 0.960449,-0.465393, 9.223938, 4.669189,gal
2020-03-06,13:53:20.263,0.049072, 0.168457, 0.963623,-0.488281, 5.424500, 4.623413,gal
2020-03-06,13:53:20.291,0.053467, 0.137939, 0.969238,-1.647949, 1.632690, -0.671387,gal
2020-03-06,13:53:20.318,0.033691, 0.145508, 0.964355,-2.563477, -0.770569, -0.236511,gal
2020-03-06,13:53:20.347,0.074463, 0.135010, 0.956055,-2.746582, -0.541687, -1.777649,gal
2020-03-06,13:53:20.377,0.058105, 0.162842, 0.962646,-2.639771, 2.029419, 6.164551,gal
2020-03-06,13:53:20.406,0.064697, 0.145508, 0.963379,-2.227783, -1.846313, -2.700806,gal
2020-03-06,13:53:20.434,0.053955, 0.129150, 0.943604,-0.495911, 2.342224, 1.350403,gal
2020-03-06,13:53:20.462,0.040771, 0.126465, 0.955566,0.755310, 3.890991, -1.380920,gal
2020-03-06,13:53:20.493,0.063232, 0.134521, 0.962891,2.586365, 6.034851, -4.104614,gal
2020-03-06,13:53:20.521,0.049316, 0.146240, 0.960205,2.700806, 2.929688, -2.830505,gal
2020-03-06,13:53:20.550,0.065430, 0.127197, 0.954834,3.265381, 3.959656, -6.156921,gal
2020-03-06,13:53:20.578,0.031494, 0.155518, 0.958740,4.669189, 6.614685, -5.088806,gal
2020-03-06,13:53:20.606,0.020752, 0.169434, 0.959717,4.898071, 4.776001, -5.149841,gal
2020-03-06,13:53:20.634,0.048828, 0.151123, 0.954590,5.981445, 5.226135, -6.278992,gal
2020-03-06,13:53:20.662,0.078125, 0.180176, 0.951660,6.706238, 7.888794, -8.499146,gal
2020-03-06,13:53:20.691,0.054443, 0.195557, 0.946289,8.926392, 18.981934, 0.411987,gal
2020-03-06,13:53:20.719,0.028809, 0.166748, 0.960205,9.254456, 21.629333, 2.342224,gal
2020-03-06,13:53:20.747,0.019531, 0.158447, 0.954590,11.291504, 19.386292, -8.575439,gal
2020-03-06,13:53:20.775,-0.008057, 0.201904, 0.960938,8.087158, 13.175964, -4.104614,gal
2020-03-06,13:53:20.806,-0.008789, 0.192383, 0.968994,4.760742, 2.731323, 0.534058,gal
2020-03-06,13:53:20.834,0.045898, 0.168701, 0.979492,7.606506, 4.112244, -10.894775,gal
2020-03-06,13:53:20.863,-0.020020, 0.199219, 0.966797,10.032654, -3.433228, -10.719299,gal
2020-03-06,13:53:20.890,-0.015137, 0.199219, 0.957764,9.567261, -12.390137, -11.184692,gal
2020-03-06,13:53:20.919,0.029785, 0.190674, 0.950928,8.537292, -13.816833, -20.416260,gal
2020-03-06,13:53:20.949,0.075928, 0.187500, 0.932861,14.480591, 2.868652, -15.357971,gal
2020-03-06,13:53:20.977,0.012939, 0.214355, 0.927490,17.242432, 15.853882, -10.459900,gal
2020-03-06,13:53:21.005,-0.019531, 0.257324, 0.952393,14.465332, 15.602112, -2.059937,gal
2020-03-06,13:53:21.033,0.010742, 0.238770, 0.947266,16.708374, 13.526917, -8.430481,gal
2020-03-06,13:53:21.061,0.006348, 0.245850, 0.953125,22.781372, 11.787415, -18.669128,gal
2020-03-06,13:53:21.090,-0.016602, 0.260254, 0.945801,26.031494, 15.525818, -17.829895,gal
2020-03-06,13:53:21.118,-0.041016, 0.276855, 0.914062,24.398804, 16.479492, -12.786865,gal
2020-03-06,13:53:21.146,-0.029053, 0.285156, 0.948730,22.682190, 9.536743, -15.464783,gal
2020-03-06,13:53:21.173,-0.018799, 0.368408, 0.932617,18.203735, 10.635376, -4.119873,gal
2020-03-06,13:53:21.203,-0.041260, 0.396973, 0.911621,11.505127, 5.485535, 32.264709,gal
2020-03-06,13:53:21.231,-0.051270, 0.239990, 0.945068,12.573242, 5.989075, 29.045105,gal
2020-03-06,13:53:21.259,-0.107666, 0.228271, 0.948730,8.613586, 3.982544, 13.580322,gal
2020-03-06,13:53:21.287,-0.050049, 0.299805, 0.919189,15.548706, -1.098633, -18.569946,gal
2020-03-06,13:53:21.314,-0.011963, 0.428467, 0.923584,8.079529, -11.520386, 8.560181,gal
2020-03-06,13:53:21.342,-0.029785, 0.359863, 0.919678,5.554199, -14.114380, 16.166687,gal
2020-03-06,13:53:21.371,-0.036377, 0.280029, 0.916504,7.324219, -17.654419, -2.403259,gal
2020-03-06,13:53:21.399,-0.029541, 0.312500, 0.907959,10.719299, -17.776489, -17.341614,gal
2020-03-06,13:53:21.427,0.006104, 0.448242, 0.886230,4.722595, -11.215210, 7.308960,gal
2020-03-06,13:53:21.455,0.024414, 0.381592, 0.892822,7.972717, -11.566162, 17.997742,gal
2020-03-06,13:53:21.483,0.025879, 0.328857, 0.909180,9.696960, -3.173828, 10.246277,gal
2020-03-06,13:53:21.511,0.005371, 0.325195, 0.913330,14.236450, 2.456665, -7.164001,gal
2020-03-06,13:53:21.539,0.027832, 0.412354, 0.890137,13.885498, 4.608154, -5.844116,gal
2020-03-06,13:53:21.566,-0.013672, 0.415039, 0.899414,11.253357, -3.234863, 12.680054,gal
2020-03-06,13:53:21.594,-0.002930, 0.319580, 0.906494,9.956360, -6.042480, -1.182556,gal
2020-03-06,13:53:21.623,-0.002930, 0.378174, 0.962646,4.798889, 1.808167, -0.999451,gal
2020-03-06,13:53:21.652,0.009766, 0.435059, 0.903564,9.330750, -2.952576, -0.305176,gal
2020-03-06,13:53:21.679,-0.016846, 0.473877, 0.911133,7.652283, -13.618469, 8.735657,gal
2020-03-06,13:53:21.707,0.059570, 0.379639, 0.879395,12.702942, -18.447876, -7.209778,gal
2020-03-06,13:53:21.735,0.050293, 0.374268, 0.934082,11.474609, -13.351440, -3.005981,gal
2020-03-06,13:53:21.765,0.054199, 0.439453, 0.846436,13.511658, 6.721497, -1.892090,gal
2020-03-06,13:53:21.793,0.073730, 0.416504, 0.863525,19.683838, 0.839233, -3.181458,gal
2020-03-06,13:53:21.820,0.017822, 0.418945, 0.902588,13.015747, -5.004883, -7.385254,gal
2020-03-06,13:53:21.848,0.086914, 0.477295, 0.870117,18.280029, -3.082275, -13.008118,gal
2020-03-06,13:53:21.875,0.068848, 0.465820, 0.858398,16.609192, 5.218506, -4.219055,gal
2020-03-06,13:53:21.903,0.005615, 0.415771, 0.886230,16.494751, -0.648499, -12.634277,gal
2020-03-06,13:53:21.933,0.050781, 0.483887, 0.867676,14.846802, -5.790710, -19.386292,gal
