timestamp,ax,ay,az,gx,gy,gz,label
2020-03-13,18:16:14.843,-0.016113, 0.185059, 0.970459,-4.104614, 4.653931, -5.180359,rivka
2020-03-13,18:16:14.871,-0.034424, 0.186523, 1.002686,-4.196167, 6.645203, -3.799438,rivka
2020-03-13,18:16:14.899,-0.042969, 0.180176, 0.962402,3.623962, 6.607056, -0.923157,rivka
2020-03-13,18:16:14.926,-0.051025, 0.190674, 0.994629,2.563477, 7.118225, -0.366211,rivka
2020-03-13,18:16:14.954,-0.055908, 0.175049, 0.985596,-2.006531, 8.735657, -0.968933,rivka
2020-03-13,18:16:14.982,-0.050049, 0.219238, 0.997559,8.514404, 1.304626, -0.999451,rivka
2020-03-13,18:16:15.011,-0.052246, 0.201660, 0.951172,-1.907349, 0.167847, -1.647949,rivka
2020-03-13,18:16:15.039,-0.048096, 0.156250, 0.958252,-3.631592, 1.670837, -0.190735,rivka
2020-03-13,18:16:15.067,-0.067139, 0.173096, 0.968750,6.271362, 5.966187, -2.883911,rivka
2020-03-13,18:16:15.094,-0.076660, 0.211182, 0.967529,14.602661, 4.699707, -10.337830,rivka
2020-03-13,18:16:15.122,-0.062744, 0.260498, 1.017334,4.241943, -0.869751, -4.516602,rivka
2020-03-13,18:16:15.149,-0.070801, 0.243408, 0.949707,-9.361267, -8.689880, -4.486084,rivka
2020-03-13,18:16:15.180,-0.047363, 0.218506, 0.933105,-8.880615, -9.010315, -1.831055,rivka
2020-03-13,18:16:15.209,-0.033203, 0.176270, 0.946045,-12.649536, -4.241943, -0.877380,rivka
2020-03-13,18:16:15.236,-0.026123, 0.149902, 0.975830,-11.772156, -4.020691, -4.478455,rivka
2020-03-13,18:16:15.264,-0.021240, 0.145020, 0.953369,-13.824463, 5.226135, 0.656128,rivka
2020-03-13,18:16:15.292,-0.037598, 0.145752, 1.001709,-0.801086, 4.333496, -0.419617,rivka
2020-03-13,18:16:15.320,-0.050293, 0.161377, 0.980225,-0.770569, 7.690430, -0.343323,rivka
2020-03-13,18:16:15.351,-0.051025, 0.189941, 0.974365,1.396179, 2.624512, -0.144958,rivka
2020-03-13,18:16:15.378,-0.056152, 0.199707, 0.982666,-6.118774, 1.548767, -4.066467,rivka
2020-03-13,18:16:15.406,-0.050293, 0.175293, 0.949463,-6.286621, 2.624512, -4.180908,rivka
2020-03-13,18:16:15.434,-0.039795, 0.175293, 0.988281,0.938416, 2.128601, -2.990723,rivka
2020-03-13,18:16:15.462,-0.047363, 0.181885, 0.973389,-2.769470, 2.929688, -2.227783,rivka
2020-03-13,18:16:15.490,-0.041260, 0.158691, 0.981445,-5.073547, 1.091003, -2.067566,rivka
2020-03-13,18:16:15.517,-0.036621, 0.169434, 0.994141,-0.961304, 2.037048, 0.526428,rivka
2020-03-13,18:16:15.545,-0.042969, 0.164795, 0.974365,3.196716, 4.989624, 1.602173,rivka
2020-03-13,18:16:15.573,-0.048584, 0.193115, 0.982178,2.082825, 5.020142, 0.045776,rivka
2020-03-13,18:16:15.602,-0.062500, 0.187988, 0.974121,-2.593994, 3.150940, 0.602722,rivka
2020-03-13,18:16:15.630,-0.056396, 0.186279, 0.958252,-5.134583, 1.197815, -0.396729,rivka
2020-03-13,18:16:15.658,-0.053711, 0.173340, 0.968750,2.342224, 1.197815, 0.221252,rivka
2020-03-13,18:16:15.685,-0.054443, 0.181885, 0.978271,2.281189, 1.686096, -1.213074,rivka
2020-03-13,18:16:15.713,-0.046387, 0.186768, 0.984375,-3.829956, 1.586914, -0.656128,rivka
2020-03-13,18:16:15.742,-0.049316, 0.189941, 0.958740,-6.011963, -1.884460, -1.358032,rivka
2020-03-13,18:16:15.771,-0.050781, 0.178223, 0.977295,-3.234863, 0.350952, -2.120972,rivka
2020-03-13,18:16:15.798,-0.048096, 0.165039, 0.980713,-2.326965, 2.265930, 0.465393,rivka
2020-03-13,18:16:15.826,-0.046387, 0.193359, 0.990479,-3.746033, 3.288269, -0.770569,rivka
2020-03-13,18:16:15.853,-0.061279, 0.185547, 0.976074,-10.803223, 1.823425, 0.328064,rivka
2020-03-13,18:16:15.882,-0.050049, 0.166016, 0.958252,-6.454468, 0.404358, 0.106812,rivka
2020-03-13,18:16:15.911,-0.038574, 0.156494, 0.978271,-1.083374, 1.441956, 0.564575,rivka
2020-03-13,18:16:15.943,-0.039307, 0.167725, 0.973633,-4.501343, 2.517700, -0.648499,rivka
2020-03-13,18:16:15.970,-0.048828, 0.170654, 0.981201,-1.136780, 1.075745, -0.717163,rivka
