timestamp,ax,ay,az,gx,gy,gz,label
2020-03-19,16:52:48.991,-0.042725, -0.105957, 0.996826,3.303528, 7.743835, 0.694275,rivka
2020-03-19,16:52:49.021,-0.043457, -0.091797, 0.984131,5.882263, 7.881165, 6.034851,rivka
2020-03-19,16:52:49.049,-0.062500, -0.093750, 0.932129,9.208679, 5.126953, 8.987427,rivka
2020-03-19,16:52:49.076,-0.060059, -0.082520, 0.986328,4.737854, 3.471375, 2.586365,rivka
2020-03-19,16:52:49.104,-0.066406, -0.086670, 0.993164,-4.547119, 2.433777, 1.564026,rivka
2020-03-19,16:52:49.133,-0.062500, -0.097900, 0.973145,-4.287720, 1.670837, 2.891541,rivka
2020-03-19,16:52:49.167,-0.042480, -0.098145, 0.975342,6.294250, 3.448486, -1.373291,rivka
2020-03-19,16:52:49.195,-0.046875, -0.067871, 0.992676,9.147644, 5.317688, -2.227783,rivka
2020-03-19,16:52:49.222,-0.053711, -0.077881, 0.997803,1.174927, 4.959106, -2.456665,rivka
2020-03-19,16:52:49.251,-0.064453, -0.069824, 0.955566,-2.044678, 3.105164, 0.427246,rivka
2020-03-19,16:52:49.278,-0.061768, -0.084229, 0.960693,-2.319336, 1.411438, 0.175476,rivka
2020-03-19,16:52:49.306,-0.054443, -0.101562, 1.036621,-9.887695, 2.906799, 2.494812,rivka
2020-03-19,16:52:49.335,-0.015137, -0.125732, 0.869385,9.284973, 6.660461, 4.791260,rivka
2020-03-19,16:52:49.365,-0.076172, -0.020264, 1.097168,1.716614, -25.215149, 2.639771,rivka
2020-03-19,16:52:49.392,-0.034180, -0.098877, 0.957031,10.253906, -7.362366, 2.571106,rivka
2020-03-19,16:52:49.422,-0.095215, -0.045166, 0.868408,4.547119, 12.016296, -6.340027,rivka
2020-03-19,16:52:49.451,-0.026123, -0.097656, 1.047363,8.995056, 9.727478, -5.287170,rivka
2020-03-19,16:52:49.481,-0.067383, -0.036621, 1.002441,-8.621216, -1.037598, -5.058289,rivka
2020-03-19,16:52:49.509,-0.073975, -0.072021, 0.981689,-2.609253, -3.166199, -1.716614,rivka
2020-03-19,16:52:49.536,-0.045898, -0.086670, 1.014160,-10.589600, 11.543274, -1.922607,rivka
2020-03-19,16:52:49.564,-0.073975, -0.076172, 0.948242,-3.868103, 5.470276, -1.716614,rivka
2020-03-19,16:52:49.592,-0.050049, -0.052734, 0.989258,3.768921, -3.013611, -2.357483,rivka
