timestamp,ax,ay,az,gx,gy,gz,label
2020-03-22,14:36:40.252,0.145752, -0.646240, 0.725830,-1.083374, 2.281189, -0.007629, rivka
2020-03-22,14:36:40.698,0.170898, -0.628906, 0.716064,-5.737305, 1.022339, 1.266479, rivka
2020-03-22,14:36:40.725,0.164551, -0.657959, 0.714355,-5.912781, 5.943298, 1.914978, rivka
2020-03-22,14:36:40.750,0.128662, -0.659424, 0.704834,-1.121521, 2.120972, 1.724243, rivka
2020-03-22,14:36:40.776,0.141602, -0.641846, 0.718262,0.312805, -1.869202, -0.434875, rivka
2020-03-22,14:36:40.802,0.154053, -0.642578, 0.738037,0.038147, 5.920410, -4.035950, rivka
2020-03-22,14:36:40.829,0.096191, -0.666260, 0.721924,0.823975, 2.609253, -4.852295, rivka
2020-03-22,14:36:40.856,0.124023, -0.653809, 0.737793,5.027771, 1.464844, -1.518250, rivka
2020-03-22,14:36:40.886,0.158203, -0.619141, 0.719482,4.249573, 4.470825, -2.082825, rivka
2020-03-22,14:36:40.912,0.144043, -0.606689, 0.733887,-1.815796, 2.212524, 0.305176, rivka
2020-03-22,14:36:40.937,0.151611, -0.607910, 0.717285,-6.843567, 0.442505, 1.312256, rivka
2020-03-22,14:36:40.963,0.164795, -0.638672, 0.705811,-11.459351, 0.747681, 1.785278, rivka
2020-03-22,14:36:40.988,0.161133, -0.675049, 0.726807,-7.873535, -1.007080, -1.586914, rivka
2020-03-22,14:36:41.014,0.158691, -0.683594, 0.743652,0.022888, 2.876282, -3.013611, rivka
2020-03-22,14:36:41.040,0.146729, -0.644043, 0.746582,10.848999, 7.904053, -1.663208, rivka
2020-03-22,14:36:41.066,0.122070, -0.600342, 0.724854,8.087158, 8.377075, 1.014709, rivka
2020-03-22,14:36:41.092,0.106201, -0.585693, 0.696777,-5.050659, -0.488281, 0.663757, rivka
2020-03-22,14:36:41.117,0.142334, -0.627441, 0.715820,-15.640259, -3.883362, -0.747681, rivka
2020-03-22,14:36:41.143,0.152832, -0.691895, 0.731201,-9.880066, -1.388550, -4.264832, rivka
2020-03-22,14:36:41.169,0.159424, -0.702393, 0.742188,5.332947, 1.968384, -2.540588, rivka
2020-03-22,14:36:41.194,0.188721, -0.628906, 0.733887,12.985229, 5.599976, -0.793457, rivka
2020-03-22,14:36:41.220,0.161377, -0.575928, 0.705566,4.585266, 8.148193, 0.129700, rivka
2020-03-22,14:36:41.246,0.097168, -0.600342, 0.713867,-10.406494, 0.350952, 0.579834, rivka
2020-03-22,14:36:41.272,0.114258, -0.639160, 0.739746,-16.662598, -7.736206, 0.419617, rivka
2020-03-22,14:36:41.298,0.185303, -0.670654, 0.748047,-9.574890, -0.083923, 0.228882, rivka
2020-03-22,14:36:41.324,0.153809, -0.689453, 0.729492,5.378723, 8.621216, -0.205994, rivka
2020-03-22,14:36:41.349,0.125000, -0.644531, 0.716064,10.307312, 4.608154, -0.297546, rivka
2020-03-22,14:36:41.376,0.128418, -0.592773, 0.706787,1.251221, 2.609253, -1.708984, rivka
2020-03-22,14:36:41.402,0.119385, -0.612549, 0.732178,-9.544373, -1.426697, -0.968933, rivka
2020-03-22,14:36:41.430,0.166016, -0.643311, 0.734131,-9.956360, -2.693176, 0.160217, rivka
2020-03-22,14:36:41.456,0.179932, -0.664551, 0.729736,-3.334045, 5.157471, -0.160217, rivka
2020-03-22,14:36:41.482,0.144043, -0.670654, 0.727539,3.395081, 5.813599, -1.258850, rivka
2020-03-22,14:36:41.508,0.141357, -0.639160, 0.726562,6.057739, 3.143311, -1.235962, rivka
2020-03-22,14:36:41.534,0.155029, -0.602051, 0.727783,0.701904, 4.661560, -0.640869, rivka
2020-03-22,14:36:41.561,0.132812, -0.616943, 0.707275,-5.584717, 3.684998, -0.358582, rivka
2020-03-22,14:36:41.588,0.122070, -0.651611, 0.728516,-7.080078, -0.045776, -2.120972, rivka
