timestamp,ax,ay,az,gx,gy,gz,label
2020-03-06,17:30:16.992,0.016846, 0.049316, 0.953613,-1.457214, 2.220154, 0.045776,gal
2020-03-06,17:30:17.020,0.021729, 0.053223, 0.958496,-2.784729, 3.776550, -0.473022,gal
2020-03-06,17:30:17.048,0.022461, 0.054932, 0.961914,-1.747131, 2.182007, -0.045776,gal
2020-03-06,17:30:17.075,0.017578, 0.054688, 0.955322,-1.350403, 1.976013, -0.259399,gal
2020-03-06,17:30:17.103,0.020508, 0.049072, 0.960205,-2.365112, 1.502991, -0.335693,gal
2020-03-06,17:30:17.131,0.022949, 0.054443, 0.958984,-1.632690, 2.693176, 0.366211,gal
2020-03-06,17:30:17.163,0.019287, 0.060059, 0.956055,-2.296448, 2.014160, 0.190735,gal
2020-03-06,17:30:17.193,0.027344, 0.052734, 0.963867,-1.579285, 1.770020, -0.053406,gal
2020-03-06,17:30:17.226,0.014893, 0.051758, 0.960693,-1.762390, 1.647949, -0.450134,gal
2020-03-06,17:30:17.259,0.016846, 0.050293, 0.964355,-2.204895, 1.632690, -0.289917,gal
2020-03-06,17:30:17.291,0.016357, 0.055420, 0.958496,-1.930237, 1.922607, -0.450134,gal
2020-03-06,17:30:17.322,0.019531, 0.051025, 0.958008,-2.525330, 1.617432, -0.450134,gal
2020-03-06,17:30:17.351,0.023438, 0.050049, 0.955566,-2.014160, 2.388000, -0.167847,gal
2020-03-06,17:30:17.380,0.018311, 0.056152, 0.961426,-2.090454, 1.846313, -0.198364,gal
2020-03-06,17:30:17.411,0.019775, 0.052246, 0.939697,-1.869202, 0.007629, -0.137329,gal
2020-03-06,17:30:17.440,0.021484, 0.049805, 0.949219,-0.045776, 2.098083, -0.167847,gal
2020-03-06,17:30:17.469,0.019043, 0.050049, 0.958252,-2.372742, 1.708984, -0.335693,gal
2020-03-06,17:30:17.502,0.025391, 0.057861, 0.960205,-1.945496, 2.273560, 1.777649,gal
2020-03-06,17:30:17.530,0.022949, 0.053467, 0.962646,-1.747131, 1.693726, -0.381470,gal
2020-03-06,17:30:17.558,0.025146, 0.052246, 0.956543,-1.937866, 2.113342, -0.236511,gal
2020-03-06,17:30:17.586,0.003418, 0.052002, 0.953125,-1.800537, 2.029419, 1.937866,gal
2020-03-06,17:30:17.616,0.025146, 0.052734, 0.961182,-2.441406, 1.686096, -0.312805,gal
2020-03-06,17:30:17.646,0.020264, 0.055664, 0.966553,-2.052307, 2.082825, 0.091553,gal
2020-03-06,17:30:17.674,0.024170, 0.054199, 0.937500,-3.890991, 1.937866, -0.175476,gal
2020-03-06,17:30:17.702,0.024414, 0.053955, 0.960449,-1.449585, 1.853943, -0.373840,gal
2020-03-06,17:30:17.730,0.020020, 0.050293, 0.956055,-1.365662, 2.143860, -0.061035,gal
2020-03-06,17:30:17.760,0.021240, 0.045898, 0.954590,-2.128601, 1.403809, -0.404358,gal
2020-03-06,17:30:17.788,0.024658, 0.053955, 0.959229,-1.449585, 2.639771, -1.922607,gal
2020-03-06,17:30:17.815,0.015381, 0.055176, 0.958496,-1.899719, 1.319885, -0.656128,gal
2020-03-06,17:30:17.843,0.017578, 0.044678, 0.966553,-1.625061, 0.030518, -0.320435,gal
2020-03-06,17:30:17.872,0.016846, 0.052734, 0.965332,-1.998901, 1.724243, -0.099182,gal
2020-03-06,17:30:17.901,0.020020, 0.054688, 0.957031,-0.106812, 0.007629, 0.015259,gal
2020-03-06,17:30:17.930,0.023926, 0.052246, 0.954590,-1.319885, 1.853943, -0.221252,gal
2020-03-06,17:30:17.958,0.019043, 0.052734, 0.958008,-1.655579, 1.808167, -0.061035,gal
2020-03-06,17:30:17.986,0.022217, 0.051514, 0.954834,-2.166748, 1.449585, -0.350952,gal
2020-03-06,17:30:18.015,0.001221, 0.055664, 0.948486,-1.472473, 2.052307, 0.053406,gal
2020-03-06,17:30:18.044,0.017578, 0.051514, 0.956543,-2.128601, 1.602173, -0.274658,gal
2020-03-06,17:30:18.073,0.020996, 0.052734, 0.962646,-1.655579, 2.151489, -0.228882,gal
2020-03-06,17:30:18.101,0.014404, 0.053955, 0.957520,-1.960754, 1.914978, -0.419617,gal
